Default Dataset,,Dataset 1,,Dataset 2,,Dataset 3,,Dataset 4,,Dataset 5,,Dataset 6,,Dataset 7,,Dataset 8,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2.280313522,0.399420375,3.141464096,0.464924086,4.242909554,0.428726242,5.28528728,0.481431727,6.298497629,0.389709972,7.273237648,0.414561857,8.27516662,0.459002409,9.309540879,0.430697694,10.10464211,0.568573632
2.306499319,0.355709835,3.194620087,0.426998477,4.302712004,0.38618367,5.351889148,0.443923809,6.338214279,0.351779133,7.3194953,0.365359665,8.334912855,0.412912662,9.376015936,0.385188009,10.25225142,0.554532445
2.32825327,0.315022276,3.234380314,0.391817386,4.349139609,0.347705497,5.398349435,0.407507947,6.367814382,0.311507087,7.365770382,0.317257372,8.388036162,0.372924741,9.442511909,0.340998203,10.39300534,0.531924427
2.368754317,0.255918811,3.279345454,0.345859374,4.388864974,0.310324608,5.438083516,0.370677007,6.417516846,0.267668211,7.41867798,0.263658198,8.461053092,0.316198698,9.502187548,0.290453863,10.4999213,0.49418472
2.391697938,0.219631285,3.309159523,0.304954972,4.428503184,0.267444222,5.477756589,0.32999642,6.457207349,0.228087523,7.478313092,0.210556592,8.527569983,0.273328771,9.555245489,0.24634132,10.57324153,0.456596924
2.418001395,0.183345066,3.349943825,0.263724871,4.468254696,0.231713182,5.517377368,0.286016135,6.496932714,0.190706634,7.551419792,0.15949503,8.600777783,0.228646624,9.608316503,0.203053701,10.6465513,0.418349189
2.444317924,0.147883771,3.3875243,0.218203943,4.507875475,0.187732897,5.563513002,0.229114648,6.543323278,0.149891174,7.644757623,0.112992145,8.687436876,0.184723924,9.668073197,0.157623894,10.7332907,0.379493882
2.490754244,0.109955547,3.429174489,0.175076864,4.547531117,0.145952411,5.609770654,0.179912456,6.603176714,0.110565808,7.79180457,0.063465813,8.807702979,0.141360676,9.697889817,0.140231615,10.82010792,0.34554884
2.568589334,0.039248994,3.478944498,0.135500099,4.593978331,0.108711624,5.649408864,0.13703207,6.68991406,0.07158087,8.167549552,0.02849402,8.968411723,0.105876681,9.741265308,0.111951838,10.90682553,0.305318659
2.530531903,0.075874356,3.538787475,0.095514793,4.653808235,0.067901393,5.695827753,0.098003947,6.821118889,0.040037509,8.355590128,0.021614295,9.142588149,0.072186214,9.834664148,0.069298601,11.00034063,0.270001357
2.704282877,0.015337884,3.618799735,0.056185486,4.760690686,0.028046879,5.762366433,0.056508894,6.957202523,0.024252008,8.545215302,0.016874539,9.316672056,0.032657819,9.957289777,0.033485235,11.10054739,0.232918975
2.798264132,0.009435033,3.739269917,0.02569963,4.874698872,0.013817635,5.876065614,0.022781434,7.112323296,0.013063465,8.718304466,0.012425984,9.444035383,0.013120829,10.10929145,0.01392963,11.21999802,0.198672376
